Document_ID,Date,Amount,Currency,Vendor_ID,Customer_ID,Reference
SAGE10001,2025-03-24,3033.43,GBP,V1004,C2003,INV-1001
SAGE10002,2025-01-24,2350.32,GBP,V1003,C2002,INV-1002
SAGE10003,2025-01-03,200.86,GBP,V1001,C2008,INV-1003
SAGE10004,2025-01-03,4698.91,GBP,V1001,C2009,INV-1004
SAGE10005,2025-03-16,998.68,GBP,V1006,C2000,INV-1005
SAGE10006,2025-03-28,2671.31,GBP,V1000,C2001,INV-1006
SAGE10007,2025-02-12,2671.4,GBP,V1003,C2003,INV-1007
SAGE10008,2025-01-15,4871.4,GBP,V1008,C2009,INV-1008
SAGE10009,2025-03-03,1974.06,GBP,V1000,C2008,INV-1009
SAGE10010,2025-02-18,345.64,GBP,V1003,C2008,INV-1010
SAGE10011,2025-01-02,418.75,GBP,V1006,C2003,INV-1011
SAGE10012,2025-01-08,4831.6,GBP,V1007,C2009,INV-1012
SAGE10013,2025-03-26,578.59,GBP,V1004,C2000,INV-1013
SAGE10014,2025-03-13,2256.75,GBP,V1002,C2006,INV-1014
SAGE10016,2025-03-23,949.49,GBP,V1002,C2003,INV-1016
SAGE10017,2025-01-03,992.96,GBP,V1005,C2001,INV-1017
SAGE10018,2025-02-22,2183.26,GBP,V1001,C2006,INV-1018
SAGE10019,2025-03-03,2881.73,GBP,V1001,C2005,INV-1019
SAGE10020,2025-02-04,3887.67,GBP,V1005,C2009,INV-1020
SAGE10021,2025-02-18,3029.71,GBP,V1004,C2000,INV-1021
SAGE10022,2025-02-11,321.61,GBP,V1007,C2008,INV-1022
SAGE10023,2025-03-25,2004.52,GBP,V1001,C2006,INV-1023
SAGE10024,2025-03-31,2975.08,GBP,V1001,C2008,INV-1024
SAGE10025,2025-02-12,3074.47,GBP,V1004,C2009,INV-1025
SAGE10026,2025-03-04,4030.77,GBP,V1005,C2009,INV-1026
SAGE10027,2025-03-27,4935.75,GBP,V1003,C2001,INV-1027
SAGE10028,2025-03-29,1073.71,GBP,V1000,C2003,INV-1028
SAGE10029,2025-01-08,1074.33,GBP,V1004,C2001,INV-1029
SAGE10031,2025-01-26,3290.28,GBP,V1006,C2004,INV-1031
SAGE10032,2025-02-01,3154.16,GBP,V1007,C2005,INV-1032
SAGE10033,2025-01-25,411.44,GBP,V1002,C2005,INV-1033
SAGE10034,2025-03-27,3675.07,GBP,V1005,C2003,INV-1034
